rebalance_date,sector,weight
2023-01-02,Nifty PSU Bank,0.3
2023-04-03,Nifty Bank,0.3
2023-04-03,Nifty PSU Bank,0.3
2023-07-03,Nifty Bank,0.3
2023-07-03,Nifty PSU Bank,0.3
2023-10-03,Nifty PSU Bank,0.3
2024-01-01,Nifty PSU Bank,0.3
2024-04-01,Nifty PSU Bank,0.3
2024-07-01,Nifty PSU Bank,0.3
2024-07-01,Nifty Oil & Gas,0.3
2024-10-01,Nifty Oil & Gas,0.3
2025-01-01,Nifty Pharma,0.3
2025-01-01,Nifty Healthcare Index,0.3
2025-04-01,Nifty Pharma,0.3
2025-04-01,Nifty Healthcare Index,0.3
2025-04-01,Nifty Financial Services,0.3
2025-07-01,Nifty Healthcare Index,0.3
2025-07-01,Nifty Financial Services,0.3
2025-10-01,Nifty Financial Services,0.3
2025-10-01,Nifty Healthcare Index,0.3
2025-10-01,Nifty PSU Bank,0.3
2026-01-01,Nifty Auto,0.3
2026-01-01,Nifty PSU Bank,0.28
2026-01-01,Nifty Metal,0.21
2026-01-01,Nifty Financial Services,0.14
2026-01-01,Nifty Healthcare Index,0.07
2026-04-01,Nifty Metal,0.3
2026-04-01,Nifty PSU Bank,0.28
2026-04-01,Nifty Healthcare Index,0.21
2026-04-01,Nifty Financial Services,0.14
2026-04-01,Nifty Auto,0.07
