Stock,Buy date,Buy price,Entry rank,Risk-adj score,6m return % at entry,Volatility %/yr at entry,5y return %,WHY PICKED,Initial SL,SL path,Peak price,Final SL,Sell date,Sell price,Exit trigger,WHY EXITED,Return %
NUCLEUS,2020-10-08,624.3,21,54.26,240.0,70.0,186.0,"Rank #21 of 390 by 6m-return/volatility | 6m +240%, vol ~70%/yr, 5y +186% (not over-extended)",511.9,-18%,638.3,511.9,2020-11-03,508.3,STOP_LOSS,"Stop-loss hit at 508; had peaked +2%, SL trailed to 512",-19.2
ALOKINDS,2020-10-08,12.1,4,96.05,428.0,71.0,n/a,"Rank #4 of 390 by 6m-return/volatility | 6m +428%, vol ~71%/yr",9.9,-18%,12.1,9.9,2020-11-09,11.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 11,-6.2
VSTTILLERS,2020-10-08,1682.3,15,60.09,159.0,42.0,22.0,"Rank #15 of 390 by 6m-return/volatility | 6m +159%, vol ~42%/yr, 5y +22% (not over-extended)",1379.5,-18%,1744.0,1379.5,2020-11-09,1711.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1712,1.2
BSOFT,2020-10-08,198.6,25,52.56,222.0,67.0,n/a,"Rank #25 of 390 by 6m-return/volatility | 6m +222%, vol ~67%/yr",162.9,-18%,208.7,162.9,2020-12-11,200.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 201,0.4
GLOBUSSPR,2020-10-08,766.3,12,73.81,268.0,58.0,648.0,"Rank #12 of 390 by 6m-return/volatility | 6m +268%, vol ~58%/yr, 5y +648%",628.4,-18%,846.7,628.4,2020-12-11,785.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 785,1.8
WELSPUNIND,2020-10-08,69.8,16,59.2,196.0,52.0,-18.0,"Rank #16 of 390 by 6m-return/volatility | 6m +196%, vol ~52%/yr, 5y -18% (not over-extended)",57.2,-18%,78.0,57.2,2020-12-11,70.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 71,0.5
MASTEK,2020-10-08,885.5,9,85.77,359.0,66.0,449.0,"Rank #9 of 390 by 6m-return/volatility | 6m +359%, vol ~66%/yr, 5y +449%",726.2,-18% ->BE@+15% ->20%-trail,1178.2,942.6,2020-12-22,942.6,STOP_LOSS,"Stop-loss hit at 943; had peaked +33%, SL trailed to 943",5.8
CGPOWER,2020-10-08,54.4,10,84.98,311.0,58.0,n/a,"Rank #10 of 390 by 6m-return/volatility | 6m +311%, vol ~58%/yr",44.6,-18% ->BE@+15% ->20%-trail,121.7,97.4,2020-12-15,94.7,STOP_LOSS,"Stop-loss hit at 95; had peaked +124%, SL trailed to 97",73.6
ICIL,2020-11-09,145.9,3,114.9,469.0,65.0,-10.0,"Rank #3 of 345 by 6m-return/volatility | 6m +469%, vol ~65%/yr, 5y -10% (not over-extended)",119.6,-18% ->BE@+15%,171.8,145.9,2020-12-11,156.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 156,6.5
WIPRO,2020-11-09,175.6,24,42.12,86.0,32.0,24.0,"Rank #24 of 345 by 6m-return/volatility | 6m +86%, vol ~32%/yr, 5y +24% (not over-extended)",144.0,-18%,183.5,144.0,2020-12-11,176.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 176,-0.2
