feature,group,kind,cliffs_delta,pos_median,ctrl_median,hit_ratio,lift,coverage,n_events_match,support_real,base_rate,threshold,direction,category
h_rs_vs_sector_trend_state,house(DVPT),categorical,,,,0.5472794506075013,1.022160848407219,0.05548563318426479,2072,3786.0,0.5354142173027844,,==,DOWNTREND
h_avg_deliv_qty_per_trade,house(DVPT),numeric,-0.02927108220475606,19.05940551132859,20.537913218722604,0.5457361672833663,1.0192784383511144,0.5094930776852422,19026,34863.0,0.5354142173027844,19.64984612912095,<=,
h_avg_trade_qty,house(DVPT),numeric,-0.027112586483758267,42.50134137988714,45.6539706468117,0.5456787998737918,1.019171292504552,0.5094395201242535,19024,34863.0,0.5354142173027844,43.877801849476526,<=,
h_next_p_above,house(DVPT),categorical,,,,0.5445468509984639,1.0170571370735844,0.132903087593391,4963,9114.0,0.5354142173027844,,==,P6M
big_deliv_days_10,raw,numeric,0.017610538598117113,1.0,1.0,0.5444816406147033,1.0169353428035535,0.5531424898910103,20656,37937.0,0.5354142173027844,1.0,>=,
vol_ratio,raw,numeric,-0.022784122462292892,0.97033970678764,0.9805352597436946,0.5439164970034124,1.0158798168331413,0.5079399084165707,18968,34873.0,0.5354142173027844,0.9752591799760316,<=,
ret_252d,raw,numeric,0.024252344741813644,0.1998238243664454,0.17562626946513182,0.5438017950850228,1.0156655865891868,0.5078327932945934,18964,34873.0,0.5354142173027844,0.18912000017364683,>=,
avg_trade_val_trend,raw,numeric,0.018915338665223814,1.007974909080132,1.0019575810037094,0.5436559139784947,1.0153931225756927,0.2030902712690464,7584,13950.0,0.5354142173027844,1.1548226456193293,>=,
sma50_slope,raw,numeric,0.021346528469779535,0.015972562048746086,0.012877561479577304,0.5434290138502567,1.014969338296334,0.507484669148167,18951,34873.0,0.5354142173027844,0.014639333060718629,>=,
h_deliv_value_ratio_1m_6m,house(DVPT),numeric,0.02132044822895029,1.0103141682268775,0.9924772267169952,0.5432693686716576,1.0146711669489177,0.5071901025627293,18940,34863.0,0.5354142173027844,1.000769626056511,>=,
h_next_p_above,house(DVPT),categorical,,,,0.5432597897655077,1.0146532763030582,0.12594060466486356,4703,8657.0,0.5354142173027844,,==,P2M
dist_low_252,raw,numeric,0.028695772755660452,0.4703883495145631,0.450260163274252,0.5427121268603218,1.0136303992716174,0.5068151996358086,18926,34873.0,0.5354142173027844,0.46170578418117547,>=,
